market,itemName,image,period,price,disc_price
costco,총  0.66 캐럿 다이아몬드 반지 - 블랑로쉐,/medias/sys_master/images/h4e/hb9/84882384781342.jpg,행사기간 2023/01/30 - 2023/02/12,"2,999,000원","할인금액 400,000원"
costco,HTL  4인용 전동 소파 RS-12627,/medias/sys_master/images/h16/h8b/135067948122142.jpg,행사기간 2023/01/30 - 2023/02/12,"2,399,000원","할인금액 600,000원"
costco,"삼성 비스포크 냉장고 848L, 새틴화이트베이지",/medias/sys_master/images/h5e/h22/100165603262494.jpg,행사기간 2023/01/23 - 2023/02/05,"2,279,000원","할인금액 400,000원"
costco,노바이러스 공기 살균기  NV-990 (거치대 포함),/medias/sys_master/images/h48/h30/64082034065438.jpg,행사기간 2023/01/23 - 2023/02/05,"2,249,000원","할인금액 350,000원"
costco,아지오 콘웨이 파이어 챗 세트 5-piece,/medias/sys_master/images/hea/hbd/96898210496542.jpg,행사기간 2023/01/16 - 2023/02/05,"2,149,000원","할인금액 1,000,000원"
costco,"삼성 AI 2.0 세탁기 21kg&건조기 17kg 세트, 그레이지",/medias/sys_master/images/h7e/h8e/96769203372062.jpg,행사기간 2023/01/23 - 2023/02/05,"1,999,000원","할인금액 250,000원"
costco,제노스 UHD 스마트 전자칠판 CO650LT4K 163cm(65),/medias/sys_master/images/h88/h7f/101439860375582.jpg,행사기간 2023/01/30 - 2023/02/12,"1,799,000원","할인금액 100,000원"
costco,브람스 테스 안마의자 S4500,/medias/sys_master/images/hed/he2/81283230924830.jpg,행사기간 2023/01/30 - 2023/02/12,"1,779,000원","할인금액 200,000원"
costco,사트바 마티에르 무빙헤드 통가죽 4인 소파,/medias/sys_master/images/hb5/h32/132001032831006.jpg,행사기간 2023/01/30 - 2023/02/12,"1,699,000원","할인금액 200,000원"
costco,포모스트 비고 다이닝 세트 7-piece,/medias/sys_master/images/hf7/h19/137996419694622.jpg,행사기간 2023/01/16 - 2023/02/05,"1,599,000원","할인금액 800,000원"
costco,케틀러 지로 R3 좌식 바이크,/medias/sys_master/images/h84/h27/12988471214110.jpg,행사기간 2023/01/30 - 2023/02/12,"1,399,000원","할인금액 200,000원"
costco,"SK매직 트리플케어 프리스탠딩 식기세척기, 14인용",/medias/sys_master/images/h55/hf2/81958019825694.jpg,행사기간 2023/01/30 - 2023/02/12,"1,349,000원","할인금액 200,000원"
